用户名,国家,关注者数,关注中,所属组织数量,Star 数,Fork 数,PushEvent,PullRequestEvent,IssuesEvent,参与过的仓库数量
mojombo,San Francisco,24057,11,1,22295,5338,0,0,0,2
defunkt,,22405,215,1,40894,6567,0,0,0,0
pjhyett,San Francisco,8310,30,0,608,138,0,0,0,0
wycats,"Portland, OR",10231,13,15,61651,8247,86,26,0,13
ezmobius,In the NW,562,13,1,2803,495,0,0,0,0
ivey,"West Hartford, CT",159,3,1,978,272,1,0,0,1
evanphx,"Los Angeles, CA",1671,10,7,10873,1155,7,4,0,10
vanpelt,San Francisco,414,20,0,3972,1538,25,9,3,31
wayneeseguin,"Buffalo, NY",750,19,4,1854,704,56,32,0,17
brynary,New York City,696,30,3,10480,2240,1,1,0,16
kevinclark,,118,6,1,223,67,6,3,1,8
technoweenie,,2666,18,1,11474,3077,0,0,0,1
macournoyer,"Montreal, QC, Canada",1242,56,1,4778,1012,0,0,0,0
takeo,"Portland, OR",102,11,0,764,132,0,0,0,1
caged,Places,2384,44,2,3409,749,4,0,0,15
topfunky,"Seattle, USA",1372,252,1,5711,1027,2,1,1,16
anotherjesse,"San Francisco, CA",268,39,1,752,402,107,22,10,9
roland,Tirana,29,1,0,6,2,0,0,0,0
lukas,San Francisco,658,19,0,2653,1385,2,1,0,3
tomtt,Amsterdam,63,12,0,277,114,0,0,0,0
nitay,New York,54,0,0,2,3,0,0,0,7
kevwil,"Frederick, CO",61,23,0,124,47,11,1,2,8
KirinDave,"San Francisco, CA",419,10,0,1427,605,0,0,0,0
jamesgolick,New York,648,30,3,3204,761,0,0,0,0
atmos,GMT +/- 8,1342,167,0,8252,1507,0,0,0,0
errfree,,10,0,0,4,0,0,0,0,0
mojodna,"Bend, OR",607,114,9,11420,3478,1,0,5,14
bmizerany,,1457,45,2,5617,1015,5,7,3,7
jnewland,"Austin, TX",756,102,1,1854,603,32,5,1,14
joshknowles,"Austin, TX",123,43,0,233,65,0,0,6,2
hornbeck,"Lawton, OK",83,35,0,390,97,0,0,0,0
jwhitmire,"Webster, NY",50,55,0,57,34,0,0,0,0
elbowdonkey,,36,10,0,228,69,0,0,0,1
reinh,"Portland, OR",206,1,0,1438,385,0,0,0,0
knzai,"Oakland, CA",65,11,1,1201,126,78,0,0,4
bs,"San Fransico, CA",145,53,1,1364,151,0,0,1,4
rsanheim,"Madison, WI, NORTH AMERICA",219,32,0,293,57,10,6,3,8
schacon,"Berlin, Germany",13759,26,8,15909,5553,46,36,2,16
uggedal,"Oslo, Norway",189,0,1,140,41,2,0,0,1
bruce,"Vancouver, WA",362,43,0,1745,782,0,0,0,3
sam,"Dallas, TX",184,5,1,42,295,0,0,0,0
mmower,"Berkshire, England",67,1,0,915,214,7,0,0,2
abhay,"San Francisco, CA",176,1,0,284,285,56,48,4,18
rabble,"Pōneke, Aotearoa",258,95,0,2517,635,10,0,21,11
benburkert,NYC,217,7,1,1399,343,44,14,9,6
indirect,San Francisco,1024,0,9,10188,1339,77,37,6,27
fearoffish,"Skipton, UK",52,5,0,89,11,3,0,0,3
ry,New York City,31886,39,1,6334,1340,10,12,12,9
engineyard,"San Francisco, CA",19,0,0,3215,1445,3,4,1,5
jsierles,"Sevilla, Spain",272,0,1,3566,2116,33,31,3,9
tweibley,Florida,50,2,0,424,50,0,0,0,0
peimei,"Palm Springs, CA",14,0,0,18,17,0,0,0,0
brixen,"Portland, OR",353,5,4,6147,1541,3,0,0,31
tmornini,San Francisco,54,4,0,439,22,0,0,0,0
outerim,"SLC, UT",29,1,2,17,4,1,0,0,2
daksis,"San Francisco, CA, USA",73,53,0,291,54,0,0,0,9
sr,Europe,589,201,4,4352,1148,0,0,0,3
lifo,,613,54,2,3204,461,0,0,2,1
rsl,"Atlanta, GA",68,9,0,1163,179,0,0,0,0
imownbey,"San Francisco, CA",89,66,0,185,46,0,0,0,1
dylanegan,"Sydney, Australia",127,0,0,294,121,0,1,0,2
jm,"Orlando, FL",529,31,2,3943,635,0,0,0,0
kmarsh,"Perrysburg, OH",69,23,2,88,25,0,0,2,14
