组织名称,公司/组织全名,位置,Star 数,Fork 数,公开仓库数,粉丝数,成员数
django,Django,Internet,95493,35170,23,7761,
JuliaLang,The Julia Programming Language,,54407,8634,53,1450,
google,Google,United States of America,1861275,340368,2680,46809,
numfocus,NumFOCUS,,1191,605,54,574,
djangocon,DjangoCon,"North America, Europe, and Australia",309,418,66,200,
JuliaCon,JuliaCon,,265,148,16,37,
NVIDIAGameWorks,NVIDIA GameWorks,,25966,3949,57,2526,
JuliaML,JuliaML,,1734,401,39,119,
JuliaMath,Julia Math,,6095,1459,70,231,
me50,,,124,343,1,2839,
FluxML,FluxML,,10478,1919,47,268,
JuliaClimate,,,462,78,15,101,
JuliaReinforcementLearning,JuliaReinforcementLearning,,1235,285,34,62,
JuliaEs,,,2,3,4,4,
julia-vscode,Julia extension for Visual Studio Code,,2287,524,24,65,
googlers,,,35,6,2,1192,
JuliaIntro,Intro to Julia,,45,24,3,7,
JuliaLangSlack,,,34,14,5,2,
JuliaGaming,,,12,8,5,14,
JuliaAcademy,JuliaAcademy,,2827,1490,16,300,
JuliaCommunity,The Julia Language Community,World wide,189,56,20,79,
JuliaHealth,JuliaHealth,,389,130,51,78,
Julia-Streamers,Julia Streamers,,12,1,2,1,
CA-Beaches,,,2,0,1,1,
UGJL,,,0,0,1,1,
HarvardUniversity-FoodinSociety,Harvard University- Food In Society,"Cambridge, MA",0,0,1,4,
Julia-Blockchain,Julia Blockchain,,28,3,1,3,
E-118-Spring21,,,4,1,5,0,
